Filename,Matching Lines,Total Lines,UAS
f133.txt,8,23,0.34782608695652173
f134.txt,11,24,0.4583333333333333
f135.txt,7,22,0.3181818181818182
f136.txt,7,20,0.35
f137.txt,0,1,0.0
f138.txt,2,26,0.07692307692307693
f139.txt,12,22,0.5454545454545454
f140.txt,8,16,0.5
f142.txt,3,31,0.0967741935483871
f143.txt,17,28,0.6071428571428571
f144.txt,8,22,0.36363636363636365
f145.txt,3,51,0.058823529411764705
f146.txt,11,22,0.5
f147.txt,7,28,0.25
f148.txt,7,15,0.4666666666666667
f149.txt,3,13,0.23076923076923078
f150.txt,6,16,0.375
f151.txt,9,17,0.5294117647058824
f152.txt,13,39,0.3333333333333333
f153.txt,12,39,0.3076923076923077
f154.txt,10,17,0.5882352941176471
f155.txt,5,21,0.23809523809523808
f156.txt,3,19,0.15789473684210525
f157.txt,4,18,0.2222222222222222
f158.txt,4,21,0.19047619047619047
f159.txt,8,16,0.5
f16.txt,9,22,0.4090909090909091
f160.txt,4,20,0.2
f161.txt,3,3,1.0
f162.txt,5,16,0.3125
f163.txt,7,15,0.4666666666666667
f164.txt,9,20,0.45
f166.txt,7,24,0.2916666666666667
f167.txt,5,21,0.23809523809523808
f168.txt,6,20,0.3
f169.txt,0,4,0.0
f17.txt,5,22,0.22727272727272727
f170.txt,13,34,0.38235294117647056
f171.txt,7,17,0.4117647058823529
f172.txt,7,41,0.17073170731707318
f173.txt,8,17,0.47058823529411764
f174.txt,5,22,0.22727272727272727
f175.txt,3,17,0.17647058823529413
f176.txt,5,16,0.3125
f177.txt,6,14,0.42857142857142855
f178.txt,7,20,0.35
f179.txt,0,1,0.0
f18.txt,2,16,0.125
f180.txt,9,34,0.2647058823529412
f181.txt,20,27,0.7407407407407407
f182.txt,1,16,0.0625
f183.txt,2,23,0.08695652173913043
f184.txt,7,19,0.3684210526315789
f185.txt,5,24,0.20833333333333334
f186.txt,1,20,0.05
f187.txt,5,37,0.13513513513513514
f188.txt,12,23,0.5217391304347826
f189.txt,13,23,0.5652173913043478
f19.txt,8,14,0.5714285714285714
f190.txt,5,20,0.25
f191.txt,4,28,0.14285714285714285
f192.txt,8,32,0.25
f193.txt,12,21,0.5714285714285714
f194.txt,16,25,0.64
f195.txt,8,13,0.6153846153846154
f196.txt,2,3,0.6666666666666666
f197.txt,10,20,0.5
f198.txt,17,23,0.7391304347826086
f199.txt,2,2,1.0
f20.txt,6,19,0.3157894736842105
f200.txt,6,23,0.2608695652173913
f201.txt,13,30,0.43333333333333335
f202.txt,6,30,0.2
f203.txt,1,15,0.06666666666666667
f204.txt,1,29,0.034482758620689655
f206.txt,2,25,0.08
f207.txt,7,21,0.3333333333333333
f208.txt,7,35,0.2
f209.txt,14,31,0.45161290322580644
f21.txt,10,28,0.35714285714285715
f210.txt,9,22,0.4090909090909091
f22.txt,9,22,0.4090909090909091
f23.txt,4,24,0.16666666666666666
f24.txt,1,19,0.05263157894736842
f25.txt,1,23,0.043478260869565216
f27.txt,6,23,0.2608695652173913
f28.txt,4,15,0.26666666666666666
f29.txt,11,26,0.4230769230769231
f3.txt,2,3,0.6666666666666666
f30.txt,10,17,0.5882352941176471
f31.txt,0,1,0.0
f32.txt,6,20,0.3
f33.txt,2,18,0.1111111111111111
f34.txt,8,15,0.5333333333333333
f35.txt,6,20,0.3
f36.txt,9,32,0.28125
f37.txt,3,19,0.15789473684210525
f38.txt,9,20,0.45
f39.txt,7,19,0.3684210526315789
f4.txt,4,21,0.19047619047619047
f40.txt,9,11,0.8181818181818182
f41.txt,6,21,0.2857142857142857
f42.txt,9,41,0.21951219512195122
f43.txt,4,23,0.17391304347826086
f44.txt,5,21,0.23809523809523808
f45.txt,10,28,0.35714285714285715
f46.txt,2,3,0.6666666666666666
f47.txt,15,34,0.4411764705882353
f48.txt,7,20,0.35
f49.txt,2,21,0.09523809523809523
f50.txt,9,19,0.47368421052631576
f51.txt,9,24,0.375
f52.txt,5,29,0.1724137931034483
f53.txt,5,5,1.0
f54.txt,7,23,0.30434782608695654
f55.txt,18,26,0.6923076923076923
f56.txt,8,11,0.7272727272727273
f57.txt,3,20,0.15
f58.txt,10,26,0.38461538461538464
f59.txt,12,26,0.46153846153846156
f6.txt,0,1,0.0
f60.txt,0,3,0.0
f61.txt,8,27,0.2962962962962963
f62.txt,2,20,0.1
f63.txt,2,13,0.15384615384615385
f64.txt,12,22,0.5454545454545454
f65.txt,11,22,0.5
f66.txt,6,32,0.1875
f67.txt,0,5,0.0
f68.txt,4,13,0.3076923076923077
f69.txt,15,27,0.5555555555555556
f7.txt,3,36,0.08333333333333333
f70.txt,7,32,0.21875
f71.txt,4,33,0.12121212121212122
f72.txt,0,1,0.0
f73.txt,8,44,0.18181818181818182
f74.txt,2,18,0.1111111111111111
f75.txt,14,18,0.7777777777777778
f76.txt,10,30,0.3333333333333333
f77.txt,6,25,0.24
f78.txt,3,25,0.12
f79.txt,8,35,0.22857142857142856
f8.txt,14,20,0.7
f81.txt,10,35,0.2857142857142857
f82.txt,6,35,0.17142857142857143
f83.txt,15,30,0.5
f84.txt,7,17,0.4117647058823529
f85.txt,6,27,0.2222222222222222
